game_date,home_team,away_team,predicted_total,actual_total,error
2026-01-15,ORL,MEM,222.5007923649713,229,-6.499207635028711
2026-01-15,DEN,DAL,219.38120940910466,227,-7.618790590895344
2026-01-15,BKN,NOP,222.57747332960983,229,-6.42252667039017
2026-01-15,UTA,CHI,230.4394419751939,254,-23.560558024806113
2026-01-15,CLE,PHI,239.27595484039932,240,-0.7240451596006778
2026-01-15,TOR,IND,225.5433916683573,216,9.543391668357287
2026-01-15,LAC,WAS,227.47879791371457,224,3.4787979137145726
2026-01-15,SAC,NYK,226.04970975240406,213,13.049709752404056
2026-01-16,BOS,MIA,226.24559446890493,233,-6.754405531095074
2026-01-16,PHX,DET,211.2192108372057,213,-1.7807891627942922
2026-01-16,DAL,UTA,230.72435947361873,266,-35.27564052638127
2026-01-16,CHA,LAL,220.23004353755738,252,-31.76995646244262
2026-01-16,ATL,POR,224.43532750587363,218,6.43532750587363
2026-01-16,SAS,MIL,217.83075591366298,220,-2.1692440863370166
2026-01-16,NYK,GSW,227.23687583866388,239,-11.763124161336123
2026-01-16,HOU,OKC,219.51157832441925,202,17.511578324419247
2026-01-17,CHI,BKN,217.4555063114385,221,-3.544493688561488
2026-01-17,SAC,WAS,225.6150652348868,243,-17.3849347651132
2026-01-17,DAL,UTA,235.1544471467211,258,-22.84555285327889
2026-01-17,HOU,MIN,226.52477198848862,215,11.524771988488624
2026-01-17,TOR,LAC,215.13069888670677,238,-22.869301113293233
2026-01-17,IND,NOP,226.41898696174314,246,-19.581013038256856
2026-01-17,PHI,CLE,231.39461037273924,232,-0.6053896272607631
2026-01-18,MIA,OKC,231.8964324994693,242,-10.103567500530687
2026-01-18,NYK,PHX,223.18427699919488,205,18.18427699919488
2026-01-18,GSW,CHA,228.97876417658634,252,-23.02123582341366
2026-01-18,DEN,WAS,230.98156929553824,236,-5.018430704461764
2026-01-18,POR,LAL,226.7645220390458,248,-21.2354779609542
2026-01-18,MEM,ORL,223.4281935240104,235,-11.571806475989604
2026-01-18,ATL,BOS,219.8061827029216,238,-18.193817297078397
2026-01-18,SAS,MIN,222.73111098252315,249,-26.26888901747685
2026-01-18,DET,IND,217.5965762188129,199,18.596576218812913
2026-01-19,NOP,HOU,227.59185595148625,229,-1.4081440485137477
2026-01-19,CHI,BKN,218.85542731008883,226,-7.144572689911172
2026-01-19,DEN,CHA,222.31708114063238,197,25.317081140632382
2026-01-19,SAC,POR,222.85486627059717,227,-4.145133729402829
2026-01-19,LAL,TOR,219.80016821744152,203,16.800168217441524
2026-01-19,SAS,UTA,226.00624336770002,233,-6.993756632299977
2026-01-19,WAS,LAC,222.13522932827777,216,6.135229328277774
2026-01-19,CLE,OKC,240.59188799463385,240,0.5918879946338507
2026-01-19,ATL,MIL,222.8188089006112,222,0.8188089006112023
2026-01-19,NYK,DAL,222.89170813408543,211,11.891708134085434
2026-01-20,DET,BOS,213.6001216638965,207,6.600121663896488
2026-01-20,PHI,IND,225.2271737589344,217,8.227173758934413
2026-01-20,BKN,PHX,220.1784034700404,243,-22.821596529959606
2026-01-20,MIA,GSW,234.49375971727352,247,-12.50624028272648
2026-01-21,UTA,MIN,247.36484370249616,249,-1.6351562975038405
2026-01-21,CHI,LAC,219.79633323620584,248,-28.20366676379416
2026-01-21,GSW,TOR,227.8582318692347,272,-44.141768130765314
2026-01-21,SAC,MIA,227.83663740023326,247,-19.163362599766742
2026-01-21,PHI,PHX,222.377130284402,226,-3.622869715598
2026-01-21,HOU,SAS,216.274533117999,217,-0.7254668820010011
2026-01-21,DEN,LAL,225.2877471308255,222,3.287747130825494
