game_date,home_team,away_team,predicted_total,actual_total,error
2025-12-27,SAS,UTA,243.96621996005854,241,2.966219960058538
2025-12-27,CHI,MIL,221.9755060871048,215,6.9755060871048045
2025-12-28,MIA,IND,243.05228301707143,258,-14.947716982928569
2025-12-28,ATL,NYK,244.48124844015206,253,-8.518751559847942
2025-12-28,HOU,CLE,228.30747117136357,217,11.307471171363574
2025-12-28,ORL,DEN,243.0245001195022,253,-9.975499880497807
2025-12-28,MIN,BKN,234.26330377924467,230,4.263303779244666
2025-12-28,CHI,MIL,221.79393467388144,215,6.793934673881438
2025-12-28,NOP,PHX,230.79015438984612,237,-6.209845610153877
2025-12-28,TOR,GSW,228.64564636739368,268,-39.35435363260632
2025-12-28,SAS,UTA,241.05856345195275,241,0.058563451952750256
2025-12-28,OKC,PHI,220.4242491144805,233,-12.575750885519511
2025-12-28,WAS,MEM,246.16962524857354,228,18.16962524857354
2025-12-28,POR,BOS,223.82497892178702,222,1.8249789217870216
2025-12-28,LAC,DET,237.82100406322007,211,26.821004063220073
2025-12-28,LAL,SAC,232.7200060389029,226,6.720006038902909
2025-12-28,BOS,POR,225.09290828358314,222,3.0929082835831423
2025-12-28,MEM,WAS,247.58515544641506,228,19.585155446415058
2025-12-28,PHI,OKC,222.23537308400623,233,-10.764626915993773
2025-12-28,GSW,TOR,240.31888623040453,268,-27.68111376959547
2025-12-28,DEN,ORL,250.70119983481376,253,-2.298800165186236
2025-12-28,PHX,NOP,229.4141294320395,237,-7.585870567960512
2025-12-28,NYK,ATL,252.9986309598132,253,-0.0013690401868018398
2025-12-28,IND,MIA,247.78931570452662,258,-10.210684295473385
2025-12-28,CLE,HOU,223.51769965199932,217,6.517699651999322
2025-12-28,BKN,MIN,230.64225692409224,230,0.6422569240922371
2025-12-28,UTA,SAS,241.85917719585115,241,0.8591771958511458
2025-12-28,MIL,CHI,220.85949690910306,215,5.859496909103058
2025-12-28,DET,LAC,235.60137504014642,211,24.601375040146422
2025-12-28,SAC,LAL,232.2805516107103,226,6.28055161071029
