game_date,home_team,away_team,predicted_total,actual_total,error,abs_error
2025-12-23,DET,POR,227.77330590571336,212,15.773305905713357,15.773305905713357
2025-12-23,ORL,GSW,229.31724460278357,217,12.317244602783575,12.317244602783575
2025-12-23,MEM,OKC,227.81265141884734,222,5.812651418847338,5.812651418847338
2025-12-23,NOP,DAL,242.63890621660482,232,10.638906216604823,10.638906216604823
2025-12-23,UTA,DEN,240.51553332961635,247,-6.484466670383654,6.484466670383654
2025-12-23,BOS,IND,220.8728995736164,198,22.872899573616394,22.872899573616394
2025-12-23,CLE,CHA,237.7066146899004,271,-33.29338531009961,33.29338531009961
2025-12-23,MIA,TOR,216.73187648021866,203,13.73187648021866,13.73187648021866
2025-12-23,LAC,HOU,230.20390610981806,236,-5.796093890181936,5.796093890181936
2025-12-23,SAC,DET,228.04787502624131,263,-34.952124973758686,34.952124973758686
2025-12-23,POR,ORL,233.4424509475748,216,17.442450947574798,17.442450947574798
2025-12-23,UTA,MEM,245.8122459121281,265,-19.187754087871895,19.187754087871895
2025-12-23,PHX,LAL,219.00457449978947,240,-20.99542550021053,20.99542550021053
2025-12-23,SAS,OKC,225.79110000944556,240,-14.208899990554443,14.208899990554443
2025-12-23,MIN,NYK,228.50668915619755,219,9.506689156197552,9.506689156197552
2025-12-23,DAL,DEN,236.99928704788837,261,-24.000712952111627,24.000712952111627
2025-12-23,IND,MIL,212.8186072231959,205,7.818607223195897,7.818607223195897
2025-12-23,CLE,NOP,242.58391734478113,259,-16.416082655218872,16.416082655218872
2025-12-23,ATL,CHI,249.52536993668514,249,0.5253699366851379,0.5253699366851379
2025-12-23,PHI,BKN,223.422498704244,220,3.422498704243992,3.422498704243992
2025-12-23,CHA,WAS,237.2013721638877,235,2.2013721638876973,2.2013721638876973
2025-12-24,NYK,MIN,227.59536620101076,219,8.595366201010762,8.595366201010762
2025-12-24,OKC,SAS,225.2047983786609,240,-14.79520162133909,14.79520162133909
2025-12-24,LAL,PHX,227.37315928518802,240,-12.626840714811976,12.626840714811976
2025-12-24,MEM,UTA,243.4631263563278,265,-21.53687364367221,21.53687364367221
2025-12-24,ORL,POR,231.85493289286273,216,15.854932892862735,15.854932892862735
2025-12-24,DET,SAC,225.3791685058587,263,-37.6208314941413,37.6208314941413
2025-12-24,HOU,LAC,223.979787980197,236,-12.020212019803012,12.020212019803012
2025-12-24,DAL,DEN,239.76388848341927,261,-21.236111516580735,21.236111516580735
2025-12-24,MIA,TOR,215.8854564942572,203,12.885456494257198,12.885456494257198
2025-12-24,CHA,WAS,234.57072564392317,235,-0.4292743560768315,0.4292743560768315
2025-12-24,MIL,IND,214.05448291965308,205,9.054482919653083,9.054482919653083
2025-12-24,NOP,CLE,244.19317508291272,259,-14.806824917087283,14.806824917087283
2025-12-24,CHI,ATL,254.82155989114062,249,5.821559891140623,5.821559891140623
2025-12-24,BKN,PHI,220.70502971642205,220,0.7050297164220467,0.7050297164220467
2025-12-25,GSW,DAL,240.93744731826752,242,-1.062552681732484,1.062552681732484
2025-12-25,LAL,HOU,243.03992381862383,215,28.039923818623834,28.039923818623834
2025-12-25,DEN,MIN,238.08554068348056,280,-41.91445931651944,41.91445931651944
2025-12-25,OKC,SAS,225.674153333077,219,6.674153333076987,6.674153333076987
2025-12-25,NYK,CLE,242.24277698456365,250,-7.757223015436352,7.757223015436352
2025-12-26,MIN,DEN,242.34398696373455,280,-37.65601303626545,37.65601303626545
2025-12-26,HOU,LAL,234.28589615769772,215,19.28589615769772,19.28589615769772
2025-12-26,CHA,ORL,235.8328185569291,225,10.832818556929112,10.832818556929112
2025-12-26,TOR,WAS,217.2336190711236,255,-37.7663809288764,37.7663809288764
2025-12-26,BOS,IND,219.594238057307,262,-42.405761942693005,42.405761942693005
2025-12-26,PHI,CHI,243.81474510920748,211,32.81474510920748,32.81474510920748
2025-12-26,MIL,MEM,230.84354130232748,229,1.8435413023274805,1.8435413023274805
2025-12-26,PHX,NOP,233.02135555161303,223,10.021355551613027,10.021355551613027
2025-12-26,DET,UTA,240.29303005493801,260,-19.706969945061985,19.706969945061985
2025-12-26,LAC,POR,221.48677009132786,222,-0.5132299086721446,0.5132299086721446
2025-12-26,ATL,MIA,230.2852719237564,237,-6.714728076243603,6.714728076243603
2025-12-27,CHI,PHI,231.57790940479634,211,20.577909404796344,20.577909404796344
2025-12-27,IND,BOS,217.59566438110335,262,-44.40433561889665,44.40433561889665
2025-12-27,NOP,PHX,234.11577222040842,237,-2.8842277795915834,2.8842277795915834
2025-12-27,ORL,DEN,240.1315286989013,253,-12.868471301098708,12.868471301098708
2025-12-27,SAC,DAL,244.92199798134928,220,24.92199798134928,24.92199798134928
2025-12-27,SAS,UTA,242.76619839325468,241,1.7661983932546832,1.7661983932546832
2025-12-27,MIN,BKN,227.62389827487323,230,-2.376101725126773,2.376101725126773
2025-12-27,MEM,MIL,229.30362777083042,229,0.3036277708304169,0.3036277708304169
2025-12-27,UTA,DET,238.51244203365349,260,-21.487557966346515,21.487557966346515
2025-12-27,HOU,CLE,242.23330568681124,217,25.233305686811235,25.233305686811235
2025-12-27,ATL,NYK,238.1328710042339,253,-14.867128995766109,14.867128995766109
2025-12-27,WAS,TOR,226.37141897201286,255,-28.62858102798714,28.62858102798714
2025-12-27,POR,LAC,220.13708393120083,222,-1.8629160687991657,1.8629160687991657
2025-12-27,ORL,CHA,231.37788384444247,225,6.377883844442465,6.377883844442465
2025-12-27,ATL,MIA,233.05065998332083,237,-3.949340016679173,3.949340016679173
2025-12-27,MIA,IND,228.48305258752586,258,-29.51694741247414,29.51694741247414
2025-12-27,CHI,MIL,225.30726476572573,215,10.307264765725733,10.307264765725733
2025-12-28,PHX,NOP,235.743570425908,237,-1.2564295740920102,1.2564295740920102
2025-12-28,CHI,MIL,224.48703566926366,215,9.487035669263662,9.487035669263662
2025-12-28,NYK,ATL,241.7193901099443,253,-11.2806098900557,11.2806098900557
2025-12-28,ORL,DEN,242.8317465516615,253,-10.168253448338504,10.168253448338504
2025-12-28,MIA,IND,230.87006911919502,258,-27.129930880804977,27.129930880804977
2025-12-28,HOU,CLE,241.42139182066302,217,24.42139182066302,24.42139182066302
2025-12-28,POR,BOS,223.36154417231236,222,1.3615441723123638,1.3615441723123638
2025-12-28,WAS,MEM,239.5194488223071,228,11.519448822307112,11.519448822307112
2025-12-28,OKC,PHI,230.1945496061211,233,-2.805450393878914,2.805450393878914
2025-12-28,TOR,GSW,219.41887845602793,268,-48.581121543972074,48.581121543972074
2025-12-28,SAS,UTA,239.68424590986422,241,-1.3157540901357834,1.3157540901357834
2025-12-28,MIN,BKN,226.83918702855294,230,-3.160812971447058,3.160812971447058
2025-12-28,LAL,SAC,233.76067479592277,226,7.7606747959227675,7.7606747959227675
2025-12-28,LAC,DET,228.66078752410954,211,17.660787524109537,17.660787524109537
2025-12-29,DET,LAC,223.42718988344078,211,12.427189883440775,12.427189883440775
2025-12-29,SAC,LAL,235.27881672334541,226,9.278816723345415,9.278816723345415
2025-12-29,MIN,CHI,241.5254003041199,237,4.5254003041198985,4.5254003041198985
2025-12-29,ORL,TOR,231.9904877635783,213,18.9904877635783,18.9904877635783
2025-12-29,IND,HOU,233.10304177185574,245,-11.896958228144257,11.896958228144257
2025-12-29,NYK,NOP,241.750868627183,255,-13.249131372817004,13.249131372817004
2025-12-29,ATL,OKC,235.22435819147967,269,-33.775641808520334,33.775641808520334
2025-12-29,CLE,SAS,239.37369127538483,214,25.37369127538483,25.37369127538483
2025-12-29,DAL,POR,228.12597936890575,247,-18.874020631094254,18.874020631094254
2025-12-29,DEN,MIA,241.20830673913127,270,-28.791693260868726,28.791693260868726
2025-12-29,GSW,BKN,224.99104007060964,227,-2.0089599293903575,2.0089599293903575
2025-12-29,WAS,PHX,231.49258095023873,216,15.492580950238732,15.492580950238732
2025-12-29,MIL,CHA,225.49712808855278,236,-10.502871911447215,10.502871911447215
2025-12-30,IND,HOU,233.480768873411,245,-11.519231126589005,11.519231126589005
2025-12-30,PHX,WAS,232.53101634164625,216,16.53101634164625,16.53101634164625
2025-12-30,GSW,BKN,223.11486207888225,227,-3.885137921117746,3.885137921117746
2025-12-30,CHA,MIL,226.64069324887942,236,-9.359306751120585,9.359306751120585
2025-12-30,ATL,OKC,241.1977218496018,269,-27.802278150398195,27.802278150398195
2025-12-30,DEN,MIA,245.0351565514993,270,-24.964843448500687,24.964843448500687
2025-12-30,SAS,CLE,239.98341842977402,214,25.98341842977402,25.98341842977402
2025-12-30,POR,DAL,229.0246448748893,247,-17.975355125110696,17.975355125110696
2025-12-30,NOP,NYK,240.7618493586031,255,-14.238150641396913,14.238150641396913
2025-12-30,CHI,MIN,241.22822476930185,237,4.228224769301846,4.228224769301846
2025-12-30,TOR,ORL,236.65721674037866,213,23.657216740378658,23.657216740378658
2025-12-30,LAC,SAC,226.29343039437816,221,5.293430394378163,5.293430394378163
2025-12-30,LAL,DET,229.63464695135025,234,-4.365353048649752,4.365353048649752
2025-12-30,UTA,BOS,242.62559737615982,248,-5.374402623840183,5.374402623840183
2025-12-30,MEM,PHI,229.19209169370663,275,-45.80790830629337,45.80790830629337
2025-12-31,CHA,GSW,229.72956293843788,257,-27.27043706156212,27.27043706156212
2025-12-31,ATL,MIN,244.26554545635125,228,16.265545456351248,16.265545456351248
2025-12-31,IND,ORL,233.76187691678678,222,11.761876916786775,11.761876916786775
2025-12-31,CLE,PHX,230.525574750075,242,-11.474425249924991,11.474425249924991
2025-12-31,PHI,MEM,238.09652600447143,275,-36.90347399552857,36.90347399552857
2025-12-31,BOS,UTA,240.49848614191603,248,-7.5015138580839675,7.5015138580839675
2025-12-31,DET,LAL,228.69608927060406,234,-5.3039107293959376,5.3039107293959376
2025-12-31,TOR,DEN,246.80494348214478,209,37.80494348214478,37.80494348214478
2025-12-31,MIL,WAS,228.3317229309713,227,1.3317229309712957,1.3317229309712957
2025-12-31,SAS,NYK,234.89155011164007,266,-31.108449888359928,31.108449888359928
2025-12-31,CHI,NOP,242.70802450071585,252,-9.291975499284149,9.291975499284149
2025-12-31,OKC,POR,229.45513791747175,219,10.455137917471745,10.455137917471745
2025-12-31,SAC,LAC,222.47005388606564,221,1.4700538860656422,1.4700538860656422
2026-01-01,WAS,MIL,226.55737820669628,227,-0.4426217933037151,0.4426217933037151
2026-01-01,DEN,TOR,233.74777016690513,209,24.747770166905127,24.747770166905127
2026-01-01,NOP,CHI,245.95480143116907,252,-6.045198568830926,6.045198568830926
2026-01-01,HOU,BKN,226.82319034171644,216,10.82319034171644,10.82319034171644
2026-01-01,OKC,POR,231.85704982066267,219,12.857049820662667,12.857049820662667
2026-01-01,NYK,SAS,244.19354247185606,266,-21.806457528143937,21.806457528143937
2026-01-01,LAC,UTA,227.15423356965601,219,8.154233569656014,8.154233569656014
2026-01-01,SAC,BOS,227.81473618911014,226,1.8147361891101355,1.8147361891101355
2026-01-01,PHI,DAL,235.27851978718178,231,4.278519787181779,4.278519787181779
2026-01-01,MIA,DET,253.60987580138135,230,23.60987580138135,23.60987580138135
2026-01-02,LAL,MEM,235.47903754946526,249,-13.52096245053474,13.52096245053474
2026-01-02,UTA,LAC,232.5821127738988,219,13.582112773898814,13.582112773898814
2026-01-02,IND,SAS,240.05252192064378,236,4.052521920643784,4.052521920643784
2026-01-02,DET,MIA,233.8111785706972,230,3.8111785706971943,3.8111785706971943
2026-01-02,DAL,PHI,238.1926521064861,231,7.1926521064860935,7.1926521064860935
2026-01-02,SAC,BOS,232.59286357501816,226,6.592863575018157,6.592863575018157
2026-01-02,GSW,OKC,233.99708830020427,225,8.997088300204268,8.997088300204268
2026-01-02,WAS,BKN,223.8609204063976,218,5.860920406397611,5.860920406397611
2026-01-02,CLE,DEN,240.34157062814916,221,19.341570628149157,19.341570628149157
2026-01-02,NYK,ATL,244.3319248315555,210,34.33192483155551,34.33192483155551
2026-01-02,CHI,ORL,234.6637155853865,235,-0.33628441461348757,0.33628441461348757
2026-01-02,MIL,CHA,227.95815363393643,243,-15.041846366063567,15.041846366063567
2026-01-02,NOP,POR,236.78600284240292,231,5.786002842402922,5.786002842402922
2026-01-02,PHX,SAC,238.78091223680963,231,7.780912236809627,7.780912236809627
2026-01-03,MIA,MIN,236.41886246517646,240,-3.58113753482354,3.58113753482354
2026-01-03,NOP,POR,237.41341258784564,231,6.413412587845642,6.413412587845642
2026-01-03,MIL,CHA,237.57099880127655,243,-5.429001198723455,5.429001198723455
2026-01-03,CHI,ORL,234.1448255056211,235,-0.8551744943789004,0.8551744943789004
2026-01-03,NYK,ATL,243.28420182175836,210,33.28420182175836,33.28420182175836
2026-01-03,IND,SAS,239.50313554234367,236,3.5031355423436707,3.5031355423436707
2026-01-03,DEN,CLE,239.62843954978152,221,18.62843954978152,18.62843954978152
2026-01-03,BKN,WAS,222.82904112969433,218,4.829041129694332,4.829041129694332
2026-01-03,LAL,MEM,242.01865253430591,249,-6.9813474656940855,6.9813474656940855
2026-01-03,GSW,OKC,234.84727549813215,225,9.847275498132149,9.847275498132149
2026-01-03,SAC,PHX,232.34179287185322,231,1.3417928718532153,1.3417928718532153
2026-01-03,LAC,BOS,228.74353200070868,261,-32.25646799929132,32.25646799929132
2026-01-03,GSW,UTA,245.4621222226171,237,8.462122222617097,8.462122222617097
2026-01-03,PHI,NYK,241.00104004548254,249,-7.99895995451746,7.99895995451746
2026-01-03,ATL,TOR,231.02448658222642,251,-19.975513417773584,19.975513417773584
2026-01-03,CHA,CHI,238.5612634571474,211,27.56126345714739,27.56126345714739
2026-01-03,POR,SAS,236.89623159660493,225,11.896231596604935,11.896231596604935
2026-01-03,HOU,DAL,237.68265296658666,214,23.68265296658666,23.68265296658666
