game_date,away_team,home_team,predicted_total,actual_total,error,abs_error,consistency_home,consistency_away,ceil_home,ceil_away
2025-12-23,ORL,GSW,229.66982085898746,217,12.669820858987464,12.669820858987464,17.918333255821164,14.6424041741785,235.0,255.0
2025-12-23,MEM,OKC,220.9579932170013,222,-1.0420067829986976,1.0420067829986976,1.9321835661585915,14.198591479439079,223.0,252.0
2025-12-23,LAL,PHX,213.27807493387695,240,-26.72192506612305,26.72192506612305,18.860894287740795,41.05605923612251,235.0,278.0
2025-12-23,MEM,UTA,248.78974799319613,265,-16.21025200680387,16.21025200680387,13.60718764313756,14.55105952614219,278.0,252.0
2025-12-23,DET,POR,209.4836429765478,212,-2.5163570234522012,2.5163570234522012,36.536739500581234,15.108496505829647,267.0,230.0
2025-12-23,ORL,POR,230.3881292427675,216,14.38812924276749,14.38812924276749,33.63678541914095,16.621271511730583,267.0,255.0
2025-12-23,HOU,LAC,218.70485813069328,236,-17.29514186930672,17.29514186930672,16.701297354796523,17.389652095427326,224.0,261.0
2025-12-23,UTA,DEN,250.26189713548115,247,3.2618971354811492,3.2618971354811492,13.293273152655484,12.552556180581972,253.0,278.0
2025-12-23,DET,SAC,211.15380837312918,263,-51.84619162687082,51.84619162687082,33.76783479387843,13.966626889362608,267.0,230.0
2025-12-23,DEN,DAL,237.49684527805306,261,-23.50315472194694,23.50315472194694,2.3664319132398464,12.745369529536774,235.0,253.0
2025-12-23,DAL,NOP,247.9138595617572,232,15.913859561757192,15.913859561757192,13.39319893743753,9.228578799938086,261.0,261.0
2025-12-23,NYK,MIN,220.96862706360014,219,1.9686270636001382,1.9686270636001382,9.843215373488933,13.623509092741122,226.0,257.0
2025-12-23,POR,DET,222.48742056909867,212,10.487420569098674,10.487420569098674,20.914906964491458,29.32575659723036,263.0,267.0
2025-12-23,GSW,ORL,226.91122976292928,217,9.911229762929281,9.911229762929281,18.162537757091595,16.605220062779456,255.0,235.0
2025-12-23,OKC,MEM,226.61015212195326,222,4.610152121953263,4.610152121953263,16.855266239368632,1.8529256146249728,265.0,223.0
2025-12-23,NOP,DAL,245.5521093983332,232,13.552109398333187,13.552109398333187,9.117138927438926,12.815355372885035,261.0,261.0
2025-12-23,BOS,IND,216.52877506382487,198,18.528775063824867,18.528775063824867,15.090836071382306,21.180704006765737,237.0,245.0
2025-12-23,CHA,CLE,253.24131462483075,271,-17.75868537516925,17.75868537516925,14.132704388521447,33.88214869219483,271.0,271.0
2025-12-23,IND,BOS,213.86210300225616,198,15.862103002256163,15.862103002256163,20.414863865984184,17.327242519608635,245.0,237.0
2025-12-23,WAS,CHA,237.0839015760366,235,2.0839015760365953,2.0839015760365953,34.94376434596975,15.046594299043221,271.0,252.0
2025-12-23,BKN,PHI,221.54499585370803,220,1.5449958537080306,1.5449958537080306,6.586180818788517,17.933209417167916,237.0,230.0
2025-12-23,CHI,ATL,260.14019162430515,249,11.140191624305146,11.140191624305146,30.379817862082934,24.648642063114867,302.0,302.0
2025-12-23,NOP,CLE,249.35989304099837,259,-9.640106959001628,9.640106959001628,13.884043599278513,11.419281938896157,271.0,261.0
2025-12-23,MIL,IND,209.20468287173466,205,4.204682871734661,4.204682871734661,18.816068782943063,6.131883886702357,237.0,216.0
2025-12-23,TOR,MIA,217.69902372025453,203,14.69902372025453,14.69902372025453,25.21375286095533,15.231546211727817,257.0,216.0
2025-12-23,OKC,SAS,221.13631030121525,240,-18.863689698784754,18.863689698784754,9.591663046625438,1.7638342073763937,237.0,223.0
2025-12-23,CLE,CHA,256.07236822324074,271,-14.927631776759256,14.927631776759256,34.17211338699047,12.15456018675021,271.0,271.0
2025-12-23,DEN,UTA,250.26216695408198,247,3.2621669540819767,3.2621669540819767,11.773793875477107,13.91881220985948,278.0,261.0
2025-12-23,MIA,TOR,212.75844610447504,203,9.758446104475041,9.758446104475041,14.735067771212394,24.96664441476534,216.0,257.0
2025-12-23,IND,MIL,209.23234690170878,205,4.23234690170878,4.23234690170878,6.289320754704403,19.112532246902525,216.0,237.0
2025-12-23,CLE,NOP,253.85509363709423,259,-5.144906362905772,5.144906362905772,11.01715833496904,10.058164179743075,261.0,271.0
2025-12-23,ATL,CHI,282.88633548879693,249,33.88633548879693,33.88633548879693,23.788185676460866,30.346883420432704,302.0,302.0
2025-12-23,PHI,BKN,216.84833926454323,220,-3.1516607354567725,3.1516607354567725,16.520694093570444,6.935416353759881,230.0,237.0
2025-12-23,CHA,WAS,237.65174913810858,235,2.6517491381085847,2.6517491381085847,12.312595177297109,35.270384177096794,252.0,271.0
2025-12-23,DAL,DEN,246.2236940166327,261,-14.776305983367308,14.776305983367308,14.10437284438175,8.99938269487907,261.0,261.0
2025-12-23,MIN,NYK,219.92203458961615,219,0.9220345896161461,0.9220345896161461,14.135848832745143,9.117138927438926,257.0,226.0
2025-12-23,PHX,LAL,216.11658479322858,240,-23.883415206771417,23.883415206771417,41.08040895609487,19.764165103090548,278.0,240.0
2025-12-23,LAC,HOU,222.81458166940877,236,-13.185418330591233,13.185418330591233,16.97743600586771,18.15488914865635,261.0,236.0
2025-12-23,SAC,DET,240.13083404741997,263,-22.869165952580033,22.869165952580033,20.254217667768195,33.29330930449006,263.0,267.0
2025-12-23,POR,ORL,226.47203391881567,216,10.472033918815669,10.472033918815669,19.12095999449586,22.95527051560152,255.0,267.0
2025-12-23,UTA,MEM,250.0197428207781,265,-14.980257179221894,14.980257179221894,17.24367839077395,9.91575626073081,265.0,278.0
2025-12-23,SAS,OKC,229.63511854387554,240,-10.364881456124465,10.364881456124465,6.1544924874255695,8.994442728707543,240.0,240.0
2025-12-24,SAS,OKC,229.1662888994996,240,-10.833711100500409,10.833711100500409,8.148619514985345,9.286190463981091,240.0,240.0
2025-12-24,MIN,NYK,222.30407215501072,219,3.304072155010715,3.304072155010715,14.581571322125138,8.262364471909155,257.0,219.0
2025-12-24,DAL,DEN,249.59834984867126,261,-11.401650151328738,11.401650151328738,15.543487382180357,11.680943645290155,261.0,261.0
2025-12-24,MIA,TOR,212.42987055580193,203,9.429870555801926,9.429870555801926,14.088608479508856,24.715267436231485,216.0,257.0
2025-12-24,ATL,CHI,277.738404390273,249,28.73840439027299,28.73840439027299,22.83661776864322,30.277237507921875,302.0,302.0
2025-12-24,CLE,NOP,258.7087023000622,259,-0.2912976999377861,0.2912976999377861,10.595596569644707,5.561774297230456,259.0,271.0
2025-12-24,CHA,WAS,241.18085245626298,235,6.180852456262983,6.180852456262983,8.126773310757747,34.413175771304026,252.0,271.0
2025-12-24,MEM,UTA,248.41108340247595,265,-16.588916597524047,16.588916597524047,7.004760286167304,18.422208819188263,265.0,265.0
2025-12-24,ORL,POR,214.53041156760338,216,-1.4695884323966197,1.4695884323966197,11.635195648452921,19.79898987322333,216.0,255.0
2025-12-24,DET,SAC,237.6287294832901,263,-25.3712705167099,25.3712705167099,32.80650342030779,25.3298243183801,263.0,263.0
2025-12-24,HOU,LAC,229.23685449418394,236,-6.7631455058160554,6.7631455058160554,19.418204517067654,16.130027209455594,236.0,261.0
2025-12-24,PHI,BKN,209.50400740553582,220,-10.495992594464184,10.495992594464184,14.901155809011744,6.81175454637056,220.0,235.0
2025-12-24,PHX,LAL,220.8479171333313,240,-19.152082866668707,19.152082866668707,41.07770414443556,20.573985731716856,278.0,240.0
2025-12-24,IND,MIL,212.23358587040798,205,7.233585870407978,7.233585870407978,6.4152595859836845,19.1253177170414,216.0,237.0
2025-12-24,UTA,MEM,251.0817973985412,265,-13.918202601458802,13.918202601458802,19.581453810515022,7.857056276579246,265.0,265.0
2025-12-24,SAC,DET,244.0808098135604,263,-18.919190186439607,18.919190186439607,28.203427687664725,31.512960296783714,263.0,263.0
2025-12-24,WAS,CHA,238.47585950900213,235,3.4758595090021345,3.4758595090021345,31.94109161148587,7.709301740970666,271.0,252.0
