date,match,actual,pred,lower,upper,uncert,diff,skipped,status
2026-01-12,MIL vs DEN,212,213.242107791316,192.8298961532689,232.87670684880058,40.04681069553169,1.2421077913159877,True,⚠️ SKIP
2026-01-12,MIA vs OKC,236,227.89669276560588,210.38088957741914,249.26720424372147,38.886314666302326,8.103307234394123,False,✅ IN RANGE
2026-01-12,SAC vs HOU,209,219.5652363555402,202.3535136481188,240.9637575875383,38.61024393941952,10.565236355540208,False,✅ IN RANGE
2026-01-12,WAS vs PHX,205,226.00678443268328,207.6030783726736,247.14996297531448,39.54688460264089,21.006784432683276,False,❌ MISS
2026-01-12,ATL vs GSW,235,223.64225608985717,201.0659027758446,244.27858055622713,43.212677780382535,11.35774391014283,True,⚠️ SKIP
2026-01-12,MIN vs SAS,207,224.68416905450368,207.38491153641667,244.70094863214467,37.31603709572801,17.684169054503684,False,❌ MISS
2026-01-12,OKC vs MIA,236,226.71272240940982,211.94677631019954,243.6305451900369,31.683768879837373,9.287277590590179,False,✅ IN RANGE
2026-01-12,DEN vs MIL,212,207.83164059672927,194.95064319271137,224.34807417423005,29.39743098151868,4.168359403270728,False,✅ IN RANGE
2026-01-12,PHX vs WAS,205,220.85253172817957,206.88132628260345,233.1202007297987,26.238874447195258,15.85253172817957,False,❌ MISS
2026-01-12,GSW vs ATL,235,231.22258261319809,204.89630042216362,236.58588374329722,31.689583321133597,3.7774173868019147,False,✅ IN RANGE
2026-01-12,SAS vs MIN,207,217.5194285048716,206.85125282922144,232.70319870186353,25.85194587264209,10.519428504871598,False,✅ IN RANGE
2026-01-12,HOU vs SAC,209,215.7048991468927,208.46579878495982,232.17290010306186,23.707101318102048,6.7048991468927,False,✅ IN RANGE
2026-01-13,LAC vs CHA,226,226.01838665988254,203.2837284485153,241.05617854794454,37.77245009942925,0.018386659882537515,False,✅ IN RANGE
2026-01-13,SAC vs LAL,236,223.5928881168056,201.43918193897946,239.12276979559434,37.68358785661488,12.407111883194403,False,✅ IN RANGE
2026-01-13,TOR vs PHI,217,220.08490535514065,204.39449877010532,249.21196221239012,44.817463442284804,3.0849053551406485,True,⚠️ SKIP
2026-01-13,DAL vs BKN,218,220.52512391333357,203.4699975313038,244.73468742950578,41.26468989820199,2.525123913333573,True,⚠️ SKIP
2026-01-13,IND vs BOS,194,221.0246052827679,197.11763901155445,241.94116287879808,44.82352386724364,27.024605282767908,True,⚠️ SKIP
2026-01-13,CLE vs UTA,235,235.1840720784515,217.0814539123759,258.76918684861795,41.68773293624204,0.18407207845149287,True,⚠️ SKIP
2026-01-13,BOS vs IND,194,203.35461475407166,193.15481238284806,222.86962211919635,29.714809736348286,9.354614754071662,False,✅ IN RANGE
2026-01-13,UTA vs CLE,235,243.45996042867256,221.3836637180553,255.19310109882716,33.80943738077187,8.45996042867256,False,✅ IN RANGE
2026-01-13,PHI vs TOR,217,218.86269957316915,203.8188704743456,236.29834242480237,32.47947195045677,1.8626995731691522,False,✅ IN RANGE
2026-01-13,BKN vs DAL,218,215.5259466414186,206.05773418211186,228.17156124605106,22.113827063939198,2.4740533585813864,False,✅ IN RANGE
2026-01-13,LAL vs SAC,236,226.73838548164073,207.0293010826721,235.9370060118136,28.907704929141488,9.261614518359266,False,❌ MISS
2026-01-13,CHA vs LAC,226,225.7780725185605,197.37959518200736,234.02302731574176,36.64343213373439,0.2219274814395078,False,✅ IN RANGE
2026-01-14,HOU vs CHI,232,227.38115634547555,200.40603057165072,237.25412031102695,36.848089739376235,4.618843654524454,False,✅ IN RANGE
