game_date,home_team,away_team,predicted_total,actual_total,error,abs_error
2026-01-15,ORL,MEM,222.9285528397927,229,-6.071447160207299,6.071447160207299
2026-01-15,DEN,DAL,219.06946471527112,227,-7.930535284728876,7.930535284728876
2026-01-15,BKN,NOP,222.9989751977883,229,-6.0010248022117025,6.0010248022117025
2026-01-15,UTA,CHI,228.50179033157713,254,-25.498209668422874,25.498209668422874
2026-01-15,CLE,PHI,235.67844559802455,240,-4.3215544019754475,4.3215544019754475
2026-01-15,TOR,IND,222.9578860092352,216,6.95788600923521,6.95788600923521
2026-01-15,LAC,WAS,224.14115723352347,224,0.14115723352347231,0.14115723352347231
2026-01-15,SAC,NYK,225.56854247326982,213,12.568542473269815,12.568542473269815
2026-01-16,BOS,MIA,225.5628386552013,233,-7.43716134479871,7.43716134479871
2026-01-16,PHX,DET,213.80015171465485,213,0.8001517146548451,0.8001517146548451
2026-01-16,DAL,UTA,230.7346100110448,266,-35.26538998895521,35.26538998895521
2026-01-16,CHA,LAL,219.94502029900224,252,-32.05497970099776,32.05497970099776
2026-01-16,ATL,POR,223.73369781707737,218,5.7336978170773705,5.7336978170773705
2026-01-16,SAS,MIL,217.36479692614847,220,-2.635203073851528,2.635203073851528
2026-01-16,NYK,GSW,229.36280139986633,239,-9.637198600133672,9.637198600133672
2026-01-16,HOU,OKC,222.5315220841365,202,20.531522084136498,20.531522084136498
2026-01-17,CHI,BKN,217.01676485015776,221,-3.983235149842244,3.983235149842244
2026-01-17,SAC,WAS,223.6771261544311,243,-19.322873845568893,19.322873845568893
2026-01-17,DAL,UTA,230.79605720635118,258,-27.20394279364882,27.20394279364882
2026-01-17,HOU,MIN,227.91885585372984,215,12.918855853729838,12.918855853729838
2026-01-17,TOR,LAC,211.90687932843932,238,-26.093120671560683,26.093120671560683
2026-01-17,IND,NOP,230.58459219072813,246,-15.41540780927187,15.41540780927187
2026-01-17,PHI,CLE,232.55415721043403,232,0.5541572104340275,0.5541572104340275
2026-01-18,MIA,OKC,233.70399994516384,242,-8.296000054836156,8.296000054836156
2026-01-18,NYK,PHX,225.48017845731647,205,20.48017845731647,20.48017845731647
2026-01-18,GSW,CHA,231.3974867982219,252,-20.602513201778095,20.602513201778095
2026-01-18,DEN,WAS,226.55812591372802,236,-9.44187408627198,9.44187408627198
2026-01-18,POR,LAL,228.79393333307416,248,-19.206066666925835,19.206066666925835
2026-01-18,MEM,ORL,223.5251676605103,235,-11.474832339489694,11.474832339489694
2026-01-18,ATL,BOS,215.48230123450924,238,-22.517698765490763,22.517698765490763
2026-01-18,SAS,MIN,222.87521469198097,249,-26.124785308019028,26.124785308019028
2026-01-18,DET,IND,219.85678708294148,199,20.85678708294148,20.85678708294148
2026-01-19,NOP,HOU,230.4887123408046,229,1.4887123408045966,1.4887123408045966
2026-01-19,CHI,BKN,219.07646297267968,226,-6.923537027320322,6.923537027320322
2026-01-19,DEN,CHA,223.5518283064677,197,26.551828306467712,26.551828306467712
2026-01-19,SAC,POR,222.8024941948272,227,-4.197505805172796,4.197505805172796
2026-01-19,LAL,TOR,221.31592655133738,203,18.315926551337384,18.315926551337384
2026-01-19,SAS,UTA,223.58455371094777,233,-9.415446289052227,9.415446289052227
2026-01-19,WAS,LAC,223.90551232969494,216,7.905512329694943,7.905512329694943
2026-01-19,CLE,OKC,239.5736297297139,240,-0.42637027028609964,0.42637027028609964
2026-01-19,ATL,MIL,221.69808617748188,222,-0.3019138225181166,0.3019138225181166
2026-01-19,NYK,DAL,221.44334871246116,211,10.443348712461159,10.443348712461159
2026-01-20,DET,BOS,216.400024143275,207,9.400024143275004,9.400024143275004
2026-01-20,PHI,IND,227.75632897503053,217,10.756328975030527,10.756328975030527
2026-01-20,BKN,PHX,220.524704380306,243,-22.47529561969401,22.47529561969401
2026-01-20,MIA,GSW,235.22906198153095,247,-11.770938018469053,11.770938018469053
2026-01-21,UTA,MIN,244.09681070233927,249,-4.903189297660731,4.903189297660731
2026-01-21,CHI,LAC,217.85836167047398,248,-30.141638329526018,30.141638329526018
2026-01-21,GSW,TOR,227.6821828637666,272,-44.3178171362334,44.3178171362334
2026-01-21,SAC,MIA,227.63297469446746,247,-19.367025305532536,19.367025305532536
2026-01-21,PHI,PHX,220.66841847797392,226,-5.3315815220260845,5.3315815220260845
2026-01-21,HOU,SAS,218.34451327328122,217,1.3445132732812226,1.3445132732812226
2026-01-21,DEN,LAL,225.0052852227683,222,3.0052852227682934,3.0052852227682934
